Additives and Petroleum Products JSC,0
Aegean Marine Petroleum Network Inc.,0
Al Maha Petroleum Products Marketing Co.,1
Amyris Inc,0
Antarchile SA,0
Atlantik Petrol Urnlr Tcrt ve SAS,0
Bharat Petroleum Corp Ltd,0
BP Castrol KK,0
BP plc,0
BP plc (ADR),0
BROAD GATE SA,0
Caltex Australia Limited,0
"Calumet Specialty Products Partners, L.P",0
Castrol India Limited,0
Chevron Corporation,0
Cmistone Viet Nam JSC,0
Conoil Plc,0
ELINOIL Hellenic Petroleum Company S.A.,1
Empresas Copec SA,1
Esso (Thailand) PCL,0
Esso Societe Anonyme Francaise SA,0
Eterna Plc,0
Forte Oil PLC,0
Fuchs Petrolub SE,0
"FUJI KOSAN COMPANY, LTD.",1
Ghana Oil Company Limited,0
GOCL Corp Ltd,0
GP Petroleums Ltd,0
Grupa Lotos SA,0
Gulf Oil Lubricants India Ltd,0
Ha Tay Petrolimex Transport & Ser,1
"Hankook Shell Oil Co., Ltd",0
Hascol Petroleum Ltd,0
Hindustan Petroleum Corporation Limited,0
HollyFrontier Corp,0
Hydrodec Group plc,0
"Idemitsu Kosan Co., Ltd.",0
Ina dd,0
IRPC Public Company Limited,0
Itochu Enex Co Ltd,0
Jiangsu Gaoke Petrochemical Co Ltd,0
Joong Ang Enervis Co Ltd,0
Jordan Petroleum Refinery Company Ltd.,0
KenolKobil Ltd,0
"Kukdong Oil & Chemicals Co., Ltd.",0
Mangalore Refinery & Petrochemicals Ltd.,0
Materials Petroleum JSC,1
Meghna Petroleum Ltd,0
Michang Oil Ind Co Ltd,0
Mobil Oil Nigeria plc,1
MoresCo Corp,0
Motor Oil (Hellas) Corinth Refineries SA,0
Mrs Oil Nigeria Plc,0
MT Gas JSC,0
Mykolaivnaftoprodukt PAT,0
N1 Hf,0
Naftopererobnyi Kompleks Halychyna PAT,0
Neftemaslozavod OAO (P),0
Neste Oyj,0
NNK - Khabarovsknefteprodukt AO,0
Oman Oil Marketing Company SAOG,1
Organizacion Terpel SA,0
Padma Oil Company Ltd,0
Paz Oil Company Ltd,0
PBF Energy Inc,0
Petrobras Argentina SA ADR,0
Petrolimex Ha Noi Transprttn & Trdng JSC,0
Petrolimex Petrochemical Corporation JSC,0
Petrolimex Saigon Trans and Service JSC,0
Petrolina (Holdings) Public Ltd,1
Petronas Dagangan Berhad,0
"Phoenix Petroleum Philippines, Inc.",0
PTT Public Company Limited,0
Puma Energy Zambia PLC,0
Qatar Fuel QSC,0
Qingdao Copton Technology Co Ltd,0
Rafinerija ulja a.d. Modrica,0
Refinaria de Petroleos de Manguinhos SA,0
S Oil Corp,0
Saigon Fuel JSC,0
Sea Oil PCL,0
Shell Pakistan Limited,0
Showa Shell Sekiyu KK,0
Siam Pan Group Public Company Limited,0
Sinopec Shandong Taishan Petrolum Co Ltd,1
SK Innovation Co Ltd,0
SK Networks Co Ltd,0
Slavneft'-Yaroslavnefteorgsintez OAO,0
Southern Waterborne Transport JS Corp,0
Terminali a.d. Doboj,0
The Bangchak Petroleum Public Co. Ltd.,0
Tianjin Sure Energy Lubrctn Tech Co Ltd,0
Tide Water Oil Co India Ltd,0
Total Mory Maroc SA,0
Trecora Resources,0
Ultrapar Participacoes SA (ADR),0
United Global Ltd,0
Valero Energy Corporation,0
Vivo Energy Cote d'Ivoire SA,0
World Fuel Services Corp,0
,10
